Time,Pressure
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.017,0
0.018,0
0.019,0
0.02,0
0.021,0
0.022,0
0.023,0
0.024,0
0.025,0
0.026,0
0.027,0
0.028,0
0.029,0
0.03,0
0.031,0
0.032,0
0.033,0
0.034,0
0.035,0
0.036,0
0.037,0
0.038,0
0.039,0
0.04,0
0.041,0
0.042,0
0.043,0
0.044,0
0.045,0
0.046,0
0.047,0
0.048,0
0.049,0
0.05,0
0.051,2.10195e-44
0.052,6.30584e-44
0.053,1.47136e-43
0.054,3.16693e-43
0.055,6.13769e-43
0.056,1.14486e-42
0.057,2.05851e-42
0.058,3.63217e-42
0.059,6.33387e-42
0.06,1.09077e-41
0.061,1.85672e-41
0.062,3.1249e-41
0.063,5.20821e-41
0.064,8.60467e-41
0.065,1.40952e-40
0.066,2.29016e-40
0.067,3.69157e-40
0.068,5.9051e-40
0.069,9.3762e-40
0.07,1.4781e-39
0.071,2.31392e-39
0.072,3.59783e-39
0.073,5.55734e-39
0.074,8.52915e-39
0.075,1.30086e-38
0.076,1.97205e-38
0.077,2.97188e-38
0.078,4.45287e-38
0.079,6.63448e-38
0.08,9.8309e-38
0.081,1.44896e-37
0.082,2.12449e-37
0.083,3.09914e-37
0.084,4.49849e-37
0.085,6.49806e-37
0.086,9.34196e-37
0.087,1.33683e-36
0.088,1.90435e-36
0.089,2.70078e-36
0.09,3.81369e-36
0.091,5.36237e-36
0.092,7.50865e-36
0.093,1.04712e-35
0.094,1.45446e-35
0.095,2.01236e-35
0.096,2.77362e-35
0.097,3.80852e-35
0.098,5.21033e-35
0.099,7.10242e-35
0.1,9.64733e-35
0.101,1.30586e-34
0.102,1.76159e-34
0.103,2.36841e-34
0.104,3.17378e-34
0.105,4.23929e-34
0.106,5.64455e-34
0.107,7.4922e-34
0.108,9.91415e-34
0.109,1.30795e-33
0.11,1.72043e-33
0.111,2.25639e-33
0.112,2.95083e-33
0.113,3.84809e-33
0.114,5.00424e-33
0.115,6.48994e-33
0.116,8.39404e-33
0.117,1.0828e-32
0.118,1.39312e-32
0.119,1.78775e-32
0.12,2.28834e-32
0.121,2.92178e-32
0.122,3.72135e-32
0.123,4.72819e-32
0.124,5.99302e-32
0.125,7.57821e-32
0.126,9.5603e-32
0.127,1.2033e-31
0.128,1.51107e-31
0.129,1.8933e-31
0.13,2.36694e-31
0.131,2.95259e-31
0.132,3.67516e-31
0.133,4.56477e-31
0.134,5.65772e-31
0.135,6.99768e-31
0.136,8.6371e-31
0.137,1.06388e-30
0.138,1.30779e-30
0.139,1.6044e-30
0.14,1.96438e-30
0.141,2.40042e-30
0.142,2.92755e-30
0.143,3.56357e-30
0.144,4.32952e-30
0.145,5.25018e-30
0.146,6.35471e-30
0.147,7.67738e-30
0.148,9.25831e-30
0.149,1.11445e-29
0.15,1.33907e-29
0.151,1.60608e-29
0.152,1.92291e-29
0.153,2.29818e-29
0.154,2.74188e-29
0.155,3.26555e-29
0.156,3.88252e-29
0.157,4.60814e-29
0.158,5.46005e-29
0.159,6.45847e-29
0.16,7.62659e-29
0.161,8.99088e-29
0.162,1.05815e-28
0.163,1.24329e-28
0.164,1.45841e-28
0.165,1.70793e-28
0.166,1.99686e-28
0.167,2.33084e-28
0.168,2.71625e-28
0.169,3.16024e-28
0.17,3.67084e-28
0.171,4.25703e-28
0.172,4.92883e-28
0.173,5.69743e-28
0.174,6.57524e-28
0.175,7.57604e-28
0.176,8.71505e-28
0.177,1.00091e-27
0.178,1.14766e-27
0.179,1.31379e-27
0.18,1.50152e-27
0.181,1.71328e-27
0.182,1.95168e-27
0.183,2.21959e-27
0.184,2.5201e-27
0.185,2.85651e-27
0.186,3.2324e-27
0.187,3.65155e-27
0.188,4.11802e-27
0.189,4.63606e-27
0.19,5.21017e-27
0.191,5.84505e-27
0.192,6.54559e-27
0.193,7.31681e-27
0.194,8.16387e-27
0.195,9.09196e-27
0.196,1.01063e-26
0.197,1.1212e-26
0.198,1.2414e-26
0.199,1.37171e-26
0.2,1.51255e-26
0.201,1.66429e-26
0.202,1.82724e-26
0.203,2.0016e-26
0.204,2.18748e-26
0.205,2.38482e-26
0.206,2.59342e-26
0.207,2.81286e-26
0.208,3.04248e-26
0.209,3.28137e-26
0.21,3.52825e-26
0.211,3.78151e-26
0.212,4.03909e-26
0.213,4.29844e-26
0.214,4.55647e-26
0.215,4.80944e-26
0.216,5.05294e-26
0.217,5.28177e-26
0.218,5.48983e-26
0.219,5.6701e-26
0.22,5.81447e-26
0.221,5.91367e-26
0.222,5.95715e-26
0.223,5.933e-26
0.224,5.82779e-26
0.225,5.62647e-26
0.226,5.31227e-26
0.227,4.86658e-26
0.228,4.26879e-26
0.229,3.49626e-26
0.23,2.52416e-26
0.231,1.3254e-26
0.232,-1.29458e-27
0.233,-1.87225e-26
0.234,-3.93726e-26
0.235,-6.36121e-26
0.236,-9.18327e-26
0.237,-1.2445e-25
0.238,-1.61902e-25
0.239,-2.04649e-25
0.24,-2.5317e-25
0.241,-3.07959e-25
0.242,-3.69526e-25
0.243,-4.38387e-25
0.244,-5.15063e-25
0.245,-6.0007e-25
0.246,-6.93913e-25
0.247,-7.9708e-25
0.248,-9.10026e-25
0.249,-1.03316e-24
0.25,-1.16685e-24
0.251,-1.31137e-24
0.252,-1.46693e-24
0.253,-1.63359e-24
0.254,-1.81133e-24
0.255,-1.99992e-24
0.256,-2.199e-24
0.257,-2.40794e-24
0.258,-2.6259e-24
0.259,-2.85174e-24
0.26,-3.08399e-24
0.261,-3.32084e-24
0.262,-3.56002e-24
0.263,-3.79884e-24
0.264,-4.03407e-24
0.265,-4.26192e-24
0.266,-4.47795e-24
0.267,-4.67705e-24
0.268,-4.85333e-24
0.269,-5.00009e-24
0.27,-5.10973e-24
0.271,-5.17368e-24
0.272,-5.18233e-24
0.273,-5.12496e-24
0.274,-4.98968e-24
0.275,-4.76333e-24
0.276,-4.43144e-24
0.277,-3.97817e-24
0.278,-3.38622e-24
0.279,-2.63683e-24
0.28,-1.70968e-24
0.281,-5.82914e-25
0.282,7.669e-25
0.283,2.36476e-24
0.284,4.23723e-24
0.285,6.41235e-24
0.286,8.91963e-24
0.287,1.17899e-23
0.288,1.50551e-23
0.289,1.87484e-23
0.29,2.29037e-23
0.291,2.75552e-23
0.292,3.27377e-23
0.293,3.84857e-23
0.294,4.4833e-23
0.295,5.18124e-23
0.296,5.9455e-23
0.297,6.77894e-23
0.298,7.68411e-23
0.299,8.66317e-23
0.3,9.71775e-23
0.301,1.08489e-22
0.302,1.20569e-22
0.303,1.33411e-22
0.304,1.47001e-22
0.305,1.6131e-22
0.306,1.76297e-22
0.307,1.91905e-22
0.308,2.08059e-22
0.309,2.24666e-22
0.31,2.41608e-22
0.311,2.58745e-22
0.312,2.75905e-22
0.313,2.9289e-22
0.314,3.09465e-22
0.315,3.25359e-22
0.316,3.40261e-22
0.317,3.53814e-22
0.318,3.65614e-22
0.319,3.75206e-22
0.32,3.82078e-22
0.321,3.85659e-22
0.322,3.85313e-22
0.323,3.80337e-22
0.324,3.69955e-22
0.325,3.53315e-22
0.326,3.29485e-22
0.327,2.97451e-22
0.328,2.56108e-22
0.329,2.04265e-22
0.33,1.40634e-22
0.331,6.38347e-23
0.332,-2.76127e-23
0.333,-1.35284e-22
0.334,-2.60855e-22
0.335,-4.06097e-22
0.336,-5.72877e-22
0.337,-7.63155e-22
0.338,-9.78978e-22
0.339,-1.22247e-21
0.34,-1.49585e-21
0.341,-1.80136e-21
0.342,-2.14134e-21
0.343,-2.51813e-21
0.344,-2.9341e-21
0.345,-3.39164e-21
0.346,-3.8931e-21
0.347,-4.44077e-21
0.348,-5.03689e-21
0.349,-5.68355e-21
0.35,-6.38272e-21
0.351,-7.13616e-21
0.352,-7.94538e-21
0.353,-8.81162e-21
0.354,-9.73574e-21
0.355,-1.07182e-20
0.356,-1.1759e-20
0.357,-1.28575e-20
0.358,-1.40125e-20
0.359,-1.5222e-20
0.36,-1.64832e-20
0.361,-1.77925e-20
0.362,-1.9145e-20
0.363,-2.05349e-20
0.364,-2.19549e-20
0.365,-2.33965e-20
0.366,-2.48495e-20
0.367,-2.63022e-20
0.368,-2.77409e-20
0.369,-2.91499e-20
